Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413223441,2601405.6116,1144078.3790,1113.6295,111.2087 g,84.4483 g,140.2658,136.1007,,14.09.2022 13:22:34
3_TS091413223425,2601405.6179,1144078.3779,1113.6310,111.2087 g,84.4483 g,140.2724,136.1071,,14.09.2022 13:22:34
3_TS091413223296,2601405.6256,1144078.3765,1113.6330,111.2087 g,84.4483 g,140.2805,136.1150,,14.09.2022 13:22:33
3_TS091413223193,2601405.6135,1144078.3787,1113.6300,111.2087 g,84.4483 g,140.2678,136.1026,,14.09.2022 13:22:32
3_TS091413223115,2601405.6111,1144078.3791,1113.6294,111.2087 g,84.4483 g,140.2653,136.1002,,14.09.2022 13:22:31
3_TS091413223050,2601405.6068,1144078.3798,1113.6282,111.2088 g,84.4483 g,140.2608,136.0959,,14.09.2022 13:22:31
3_TS091413222974,2601405.6014,1144078.3808,1113.6269,111.2087 g,84.4483 g,140.2552,136.0904,,14.09.2022 13:22:30
3_TS091413222905,2601405.6077,1144078.3797,1113.6284,111.2088 g,84.4484 g,140.2617,136.0968,,14.09.2022 13:22:29
3_TS091413222828,2601405.6146,1144078.3785,1113.6302,111.2087 g,84.4483 g,140.2690,136.1038,,14.09.2022 13:22:28
3_TS091413222749,2601405.6186,1144078.3777,1113.6312,111.2087 g,84.4483 g,140.2732,136.1079,,14.09.2022 13:22:27
3_TS091413222686,2601405.6187,1144078.3777,1113.6314,111.2087 g,84.4483 g,140.2733,136.1080,,14.09.2022 13:22:27
3_TS091413222610,2601405.6141,1144078.3785,1113.6301,111.2087 g,84.4483 g,140.2685,136.1033,,14.09.2022 13:22:26
3_TS091413222544,2601405.6062,1144078.3800,1113.6281,111.2087 g,84.4483 g,140.2602,136.0953,,14.09.2022 13:22:25
3_TS091413222469,2601405.6021,1144078.3807,1113.6271,111.2087 g,84.4483 g,140.2559,136.0911,,14.09.2022 13:22:25
3_TS091413222396,2601405.6011,1144078.3809,1113.6267,111.2087 g,84.4484 g,140.2548,136.0901,,14.09.2022 13:22:24
